year;state;month;number
1998;Acre;1;0
1999;Acre;1;0
2000;Acre;1;0
2001;Acre;1;0
2002;Acre;1;0
2003;Acre;1;10
2004;Acre;1;0
2005;Acre;1;12
2006;Acre;1;4
2007;Acre;1;0
2008;Acre;1;0
2009;Acre;1;0
2010;Acre;1;1
2011;Acre;1;0
2012;Acre;1;0
2013;Acre;1;0
2014;Acre;1;0
2015;Acre;1;1
2016;Acre;1;12
2017;Acre;1;0
1998;Acre;2;0
1999;Acre;2;0
2000;Acre;2;0
2001;Acre;2;0
2002;Acre;2;1
2003;Acre;2;0
2004;Acre;2;3
2005;Acre;2;0
2006;Acre;2;0
2007;Acre;2;5
2008;Acre;2;0
2009;Acre;2;2
2010;Acre;2;0
2011;Acre;2;0
2012;Acre;2;0
2013;Acre;2;0
2014;Acre;2;0
2015;Acre;2;2
2016;Acre;2;5
2017;Acre;2;1
1998;Acre;3;0
1999;Acre;3;0
2000;Acre;3;11
2001;Acre;3;0
2002;Acre;3;0
2003;Acre;3;0
2004;Acre;3;0
2005;Acre;3;3
2006;Acre;3;0
2007;Acre;3;2
2008;Acre;3;0
2009;Acre;3;1
2010;Acre;3;0
2011;Acre;3;0
2012;Acre;3;1
2013;Acre;3;2
2014;Acre;3;1
2015;Acre;3;2
2016;Acre;3;0
2017;Acre;3;0
1998;Acre;4;0
1999;Acre;4;0
2000;Acre;4;1
2001;Acre;4;0
2002;Acre;4;0
2003;Acre;4;1
2004;Acre;4;2
2005;Acre;4;1
2006;Acre;4;0
2007;Acre;4;0
2008;Acre;4;0
2009;Acre;4;0
2010;Acre;4;3
2011;Acre;4;2
2012;Acre;4;1
2013;Acre;4;19
2014;Acre;4;7
2015;Acre;4;3
2016;Acre;4;0
2017;Acre;4;1
1998;Acre;5;0
1999;Acre;5;0
2000;Acre;5;1
2001;Acre;5;0
2002;Acre;5;0
2003;Acre;5;6
2004;Acre;5;7
2005;Acre;5;2
2006;Acre;5;8
2007;Acre;5;1
2008;Acre;5;0
2009;Acre;5;3
2010;Acre;5;9
2011;Acre;5;3
2012;Acre;5;3
2013;Acre;5;4
2014;Acre;5;1
2015;Acre;5;2
2016;Acre;5;21
2017;Acre;5;10
1998;Acre;6;3
1999;Acre;6;0
2000;Acre;6;1
2001;Acre;6;1
2002;Acre;6;0
2003;Acre;6;0
2004;Acre;6;5
2005;Acre;6;27
2006;Acre;6;1
2007;Acre;6;4
2008;Acre;6;0
2009;Acre;6;0
2010;Acre;6;1
2011;Acre;6;10
2012;Acre;6;7
2013;Acre;6;8
2014;Acre;6;17
2015;Acre;6;40
2016;Acre;6;87
2017;Acre;6;45
1998;Acre;7;37
1999;Acre;7;1
2000;Acre;7;1
2001;Acre;7;3
2002;Acre;7;39
2003;Acre;7;168
2004;Acre;7;42
2005;Acre;7;368
2006;Acre;7;33
2007;Acre;7;29
2008;Acre;7;41
2009;Acre;7;31
2010;Acre;7;126
2011;Acre;7;93
2012;Acre;7;71
2013;Acre;7;54
2014;Acre;7;60
2015;Acre;7;109
2016;Acre;7;533
2017;Acre;7;457
1998;Acre;8;130
1999;Acre;8;63
2000;Acre;8;136
2001;Acre;8;396
2002;Acre;8;728
2003;Acre;8;1.976
2004;Acre;8;645
2005;Acre;8;4.198
2006;Acre;8;839
2007;Acre;8;960
2008;Acre;8;445
2009;Acre;8;194
2010;Acre;8;1.682
2011;Acre;8;425
2012;Acre;8;739
2013;Acre;8;679
2014;Acre;8;1.1
2015;Acre;8;1.397
2016;Acre;8;2.188
2017;Acre;8;1.493
1998;Acre;9;509
1999;Acre;9;209
2000;Acre;9;265
2001;Acre;9;290
2002;Acre;9;1.949
2003;Acre;9;3.942
2004;Acre;9;1.978
2005;Acre;9;4.253
2006;Acre;9;2.37
2007;Acre;9;2.08
2008;Acre;9;1.666
2009;Acre;9;1.265
2010;Acre;9;2.531
2011;Acre;9;1.204
2012;Acre;9;1.996
2013;Acre;9;2.136
2014;Acre;9;2.175
2015;Acre;9;2.928
2016;Acre;9;3.586
2017;Acre;9;3.429
1998;Acre;10;44
1999;Acre;10;60
2000;Acre;10;18
2001;Acre;10;137
2002;Acre;10;687
2003;Acre;10;740
2004;Acre;10;461
2005;Acre;10;547
2006;Acre;10;316
2007;Acre;10;203
2008;Acre;10;652
2009;Acre;10;565
2010;Acre;10;292
2011;Acre;10;97
2012;Acre;10;348
2013;Acre;10;258
2014;Acre;10;406
2015;Acre;10;905
2016;Acre;10;509
2017;Acre;10;1.508
1998;Acre;11;0
1999;Acre;11;0
2000;Acre;11;0
2001;Acre;11;1
2002;Acre;11;86
2003;Acre;11;15
2004;Acre;11;10
2005;Acre;11;14
2006;Acre;11;18
2007;Acre;11;7
2008;Acre;11;4
2009;Acre;11;33
2010;Acre;11;39
2011;Acre;11;74
2012;Acre;11;13
2013;Acre;11;79
2014;Acre;11;56
2015;Acre;11;115
2016;Acre;11;46
2017;Acre;11;98
1998;Acre;12;7
1999;Acre;12;0
2000;Acre;12;0
2001;Acre;12;0
2002;Acre;12;1
2003;Acre;12;1
2004;Acre;12;7
2005;Acre;12;2
2006;Acre;12;0
2007;Acre;12;0
2008;Acre;12;0
2009;Acre;12;1
2010;Acre;12;0
2011;Acre;12;4
2012;Acre;12;1
2013;Acre;12;3
2014;Acre;12;6
2015;Acre;12;8
2016;Acre;12;6
1998;Alagoas;1;0
1999;Alagoas;1;58
2000;Alagoas;1;11
2001;Alagoas;1;5
2002;Alagoas;1;12
2003;Alagoas;1;150
2004;Alagoas;1;9
2005;Alagoas;1;83
2006;Alagoas;1;29
2007;Alagoas;1;33
2008;Alagoas;1;55
2009;Alagoas;1;104
2010;Alagoas;1;23
2011;Alagoas;1;41
2012;Alagoas;1;36
2013;Alagoas;1;49
2014;Alagoas;1;54
2015;Alagoas;1;81
2016;Alagoas;1;24
2017;Alagoas;1;38
2017;Alagoas;1;38
1998;Alagoas;2;0
1999;Alagoas;2;20
2000;Alagoas;2;16
2001;Alagoas;2;4
2002;Alagoas;2;15
2003;Alagoas;2;33
2004;Alagoas;2;7
2005;Alagoas;2;31
2006;Alagoas;2;14
2007;Alagoas;2;28
2008;Alagoas;2;74
2009;Alagoas;2;32
2010;Alagoas;2;26
2011;Alagoas;2;33
2012;Alagoas;2;41
2013;Alagoas;2;19
2014;Alagoas;2;29
2015;Alagoas;2;46
2016;Alagoas;2;14
2017;Alagoas;2;21
1998;Alagoas;3;0
1999;Alagoas;3;52
2000;Alagoas;3;32
2001;Alagoas;3;0
2002;Alagoas;3;27
2003;Alagoas;3;15
2004;Alagoas;3;16
2005;Alagoas;3;35
2006;Alagoas;3;37
2007;Alagoas;3;7
2008;Alagoas;3;31
2009;Alagoas;3;31
2010;Alagoas;3;70
2011;Alagoas;3;34
2012;Alagoas;3;44
2013;Alagoas;3;31
2014;Alagoas;3;28
2015;Alagoas;3;32
2016;Alagoas;3;9
2017;Alagoas;3;23
1998;Alagoas;4;0
1999;Alagoas;4;4
2000;Alagoas;4;20
2001;Alagoas;4;0
2002;Alagoas;4;6
2003;Alagoas;4;20
2004;Alagoas;4;6
2005;Alagoas;4;1
2006;Alagoas;4;2
2007;Alagoas;4;1
2008;Alagoas;4;18
2009;Alagoas;4;5
2010;Alagoas;4;3
2011;Alagoas;4;17
2012;Alagoas;4;18
2013;Alagoas;4;25
2014;Alagoas;4;16
2015;Alagoas;4;63
2016;Alagoas;4;13
2017;Alagoas;4;7
1998;Alagoas;5;0
1999;Alagoas;5;1
2000;Alagoas;5;1
2001;Alagoas;5;2
2002;Alagoas;5;1
2003;Alagoas;5;1
2004;Alagoas;5;3
2005;Alagoas;5;0
2006;Alagoas;5;0
2007;Alagoas;5;0
2008;Alagoas;5;0
2009;Alagoas;5;0
2010;Alagoas;5;0
2011;Alagoas;5;0
2012;Alagoas;5;21
