data;number
01/01/1998;0
01/02/1998;0
01/03/1998;0
01/04/1998;0
01/05/1998;0
01/06/1998;2566
01/07/1998;5186
01/08/1998;22087
01/09/1998;20520
01/10/1998;5674
01/11/1998;630
01/12/1998;512
01/01/1999;333
01/02/1999;163
01/03/1999;234
01/04/1999;203
01/05/1999;964
01/06/1999;2463
01/07/1999;5747
01/08/1999;26504
01/09/1999;21607
01/10/1999;11998
01/11/1999;2179
01/12/1999;431
01/01/2000;412
01/02/2000;247
01/03/2000;301
01/04/2000;168
01/05/2000;1462
01/06/2000;4854
01/07/2000;2155
01/08/2000;11067
01/09/2000;12236
01/10/2000;8646
01/11/2000;1101
01/12/2000;411
01/01/2001;264
01/02/2001;805
01/03/2001;1177
01/04/2001;817
01/05/2001;1367
01/06/2001;7257
01/07/2001;3064
01/08/2001;15533
01/09/2001;9550
01/10/2001;9262
01/11/2001;1511
01/12/2001;872
01/01/2002;843
01/02/2002;657
01/03/2002;1077
01/04/2002;954
01/05/2002;2775
01/06/2002;8937
01/07/2002;8304
01/08/2002;26056
01/09/2002;28665
01/10/2002;18769
01/11/2002;5472
01/12/2002;2068
01/01/2003;1911
01/02/2003;1554
01/03/2003;1919
01/04/2003;1385
01/05/2003;1141
01/06/2003;4889
01/07/2003;7243
01/08/2003;17989
01/09/2003;13466
01/10/2003;14017
01/11/2003;4110
01/12/2003;2705
01/01/2004;1145
01/02/2004;816
01/03/2004;1293
01/04/2004;792
01/05/2004;2806
01/06/2004;11465
01/07/2004;14891
01/08/2004;25559
01/09/2004;37083
01/10/2004;16643
01/11/2004;4792
01/12/2004;2532
01/01/2005;921
01/02/2005;1273
01/03/2005;809
01/04/2005;585
01/05/2005;2254
01/06/2005;3667
01/07/2005;7957
01/08/2005;19024
01/09/2005;47263
01/10/2005;15399
01/11/2005;3358
01/12/2005;456
01/01/2006;1209
01/02/2006;813
01/03/2006;1016
01/04/2006;422
01/05/2006;422
01/06/2006;1284
01/07/2006;3130
01/08/2006;14024
01/09/2006;20317
01/10/2006;6472
01/11/2006;1785
01/12/2006;243
01/01/2007;793
01/02/2007;1233
01/03/2007;1405
01/04/2007;205
01/05/2007;676
01/06/2007;2170
01/07/2007;1693
01/08/2007;29017
01/09/2007;44484
01/10/2007;6027
01/11/2007;988
01/12/2007;131
01/01/2008;603
01/02/2008;441
01/03/2008;716
01/04/2008;590
01/05/2008;244
01/06/2008;727
01/07/2008;1961
01/08/2008;6741
01/09/2008;14856
01/10/2008;12829
01/11/2008;770
01/12/2008;406
01/01/2009;874
01/02/2009;592
01/03/2009;667
01/04/2009;584
01/05/2009;1767
01/06/2009;1819
01/07/2009;3318
01/08/2009;4213
01/09/2009;12822
01/10/2009;9311
01/11/2009;3743
01/12/2009;783
01/01/2010;902
01/02/2010;1180
01/03/2010;1420
01/04/2010;1374
01/05/2010;2066
01/06/2010;1995
01/07/2010;7955
01/08/2010;33995
01/09/2010;40329
01/10/2010;10151
01/11/2010;2307
01/12/2010;1519
01/01/2011;593
01/02/2011;340
01/03/2011;451
01/04/2011;597
01/05/2011;1051
01/06/2011;1963
01/07/2011;2983
01/08/2011;7732
01/09/2011;16524
01/10/2011;4050
01/11/2011;2813
01/12/2011;1779
01/01/2012;634
01/02/2012;519
01/03/2012;796
01/04/2012;887
01/05/2012;1493
01/06/2012;2782
01/07/2012;4754
01/08/2012;15556
01/09/2012;20448
01/10/2012;7299
01/11/2012;2694
01/12/2012;1317
01/01/2013;937
01/02/2013;598
01/03/2013;1034
01/04/2013;683
01/05/2013;1220
01/06/2013;2214
01/07/2013;2181
01/08/2013;7278
01/09/2013;14849
01/10/2013;6982
01/11/2013;2686
01/12/2013;1237
01/01/2014;1024
01/02/2014;693
01/03/2014;1367
01/04/2014;1384
01/05/2014;1720
01/06/2014;3438
01/07/2014;4319
01/08/2014;17327
01/09/2014;13262
01/10/2014;8828
01/11/2014;3220
01/12/2014;1624
01/01/2015;1781
01/02/2015;1305
01/03/2015;1208
01/04/2015;1420
01/05/2015;1148
01/06/2015;2014
01/07/2015;4019
01/08/2015;16433
01/09/2015;28309
01/10/2015;13005
01/11/2015;3766
01/12/2015;3599
01/01/2016;3179
01/02/2016;1215
01/03/2016;2644
01/04/2016;914
01/05/2016;2074
01/06/2016;3041
01/07/2016;9559
01/08/2016;20444
01/09/2016;17600
01/10/2016;10145
01/11/2016;4069
01/12/2016;1462
01/01/2017;1117
01/02/2017;719
01/03/2017;1269
01/04/2017;923
01/05/2017;1604
01/06/2017;2710
01/07/2017;5347
01/08/2017;23417
01/09/2017;50904
01/10/2017;7634
01/11/2017;3587
